"pois"
"1.3"
"Bracu_Alter"
"Bangladesh"
"2026-02-07"
"17:39:28"
"Prelim1"
detection,time,type,name,x,y,z,robot,mode
1,17:39:30,"real_object","Backpack",0.0008,0.023,0.4762,"ALTER",T
2,17:40:36,"real_object","Backpack",-0.0229,-0.1811,1.3754,"ALTER",T
3,17:40:43,"real_object","Backpack",-0.1043,-0.0879,1.0984,"ALTER",T
4,17:41:09,"real_object","Backpack",0.071,0.071,1.8533,"ALTER",T
5,17:41:11,"real_object","Backpack",0.2592,0.0,0.7069,"ALTER",T
6,17:41:16,"real_object","fire_extinguisher",-0.0053,0.0609,0.7947,"ALTER",T
7,17:41:31,"ar_code","37",-0.10729999840259552,0.29120001196861267,3.0650999546051025,"ALTER",T
8,17:41:57,"real_object","Backpack",0.0741,0.2478,0.8081,"ALTER",T
9,17:42:24,"ar_code","17",0.11649999767541885,-0.1200999990105629,1.059399962425232,"ALTER",T
10,17:42:45,"real_object","hard_hat",0.7914,0.4286,1.7143,"ALTER",T
11,17:42:45,"real_object","hard_hat",0.4068,0.5734,1.6949,"ALTER",T
12,17:42:45,"real_object","hard_hat",0.9346,0.2026,1.9608,"ALTER",T
13,17:42:45,"real_object","hard_hat",0.8709,0.7252,1.9868,"ALTER",T
14,17:42:46,"real_object","hard_hat",0.125,0.6098,1.8293,"ALTER",T
15,17:42:46,"real_object","hard_hat",0.4393,0.0954,1.7341,"ALTER",T
16,17:42:46,"real_object","hard_hat",0.0029,0.2676,1.7647,"ALTER",T
17,17:42:48,"hazmat_sign","radioactive",0.0193,-0.2099,1.6575,"ALTER",T
18,17:42:49,"hazmat_sign","oxidizer",0.4031,-0.225,1.875,"ALTER",T
19,17:42:50,"real_object","hard_hat",0.0625,0.25,2.0833,"ALTER",T
20,17:42:57,"real_object","hard_hat",1.0814,0.8295,2.3256,"ALTER",T
21,17:42:58,"ar_code","37",-0.1647000014781952,0.0333000011742115,1.1102999448776245,"ALTER",T
22,17:42:59,"real_object","hard_hat",0.9808,1.024,2.8846,"ALTER",T
23,17:42:59,"real_object","hard_hat",0.4,-0.2857,1.7143,"ALTER",T
24,17:43:53,"real_object","hard_hat",0.1903,0.0433,0.519,"ALTER",T
25,17:43:58,"hazmat_sign","radioactive",0.0562,0.268,0.8646,"ALTER",T
26,17:43:59,"real_object","fire_extinguisher",0.3949,-0.6103,3.0769,"ALTER",T
27,17:44:04,"hazmat_sign","oxidizer",0.0618,0.2647,1.7647,"ALTER",T
28,17:44:05,"real_object","fire_extinguisher",0.7609,-0.0543,3.2609,"ALTER",T
29,17:44:09,"ar_code","17",1.8592000007629395,0.365200012922287,9.960200309753418,"ALTER",T
30,17:44:23,"real_object","fire_extinguisher",0.5145,-0.0462,3.4682,"ALTER",T
31,17:44:31,"hazmat_sign","radioactive",-0.0053,0.508,1.5957,"ALTER",T
32,17:44:54,"real_object","fire_extinguisher",-0.1641,0.1015,1.2959,"ALTER",T
33,17:44:55,"real_object","fire_extinguisher",0.2155,-0.5635,3.3149,"ALTER",T
34,17:44:56,"real_object","fire_extinguisher",-0.2609,1.0598,3.2609,"ALTER",T
35,17:44:58,"real_object","fire_extinguisher",0.0663,0.9745,3.0612,"ALTER",T
36,17:44:58,"real_object","hard_hat",0.3552,0.2308,1.3575,"ALTER",T
37,17:44:59,"real_object","fire_extinguisher",-0.5284,1.1136,3.4091,"ALTER",T
38,17:44:59,"real_object","hard_hat",0.0445,-0.0131,1.5707,"ALTER",T
39,17:45:02,"real_object","hard_hat",0.1173,0.4872,1.5306,"ALTER",T
40,17:45:10,"real_object","fire_extinguisher",0.1742,-0.0691,1.8018,"ALTER",T
41,17:45:10,"hazmat_sign","radioactive",-0.1092,-0.0529,1.0239,"ALTER",T
42,17:45:10,"real_object","fire_extinguisher",0.3211,-0.3211,2.7523,"ALTER",T
43,17:45:11,"real_object","fire_extinguisher",0.4607,-0.3596,3.3708,"ALTER",T
44,17:45:14,"real_object","fire_extinguisher",0.679,-0.2531,3.7037,"ALTER",T
45,17:45:16,"real_object","fire_extinguisher",0.988,-0.3114,3.5928,"ALTER",T
46,17:45:16,"real_object","fire_extinguisher",0.994,0.2156,3.5928,"ALTER",T
47,17:45:17,"hazmat_sign","radioactive",-0.0134,-0.1451,1.3393,"ALTER",T
48,17:45:17,"real_object","fire_extinguisher",0.7529,-0.4483,3.4483,"ALTER",T
49,17:45:19,"real_object","fire_extinguisher",0.2915,-0.1255,2.214,"ALTER",T
50,17:45:28,"hazmat_sign","radioactive",-0.0429,0.0024,0.7143,"ALTER",T
51,17:45:31,"hazmat_sign","radioactive",0.0994,0.0013,0.3774,"ALTER",T
52,17:45:32,"real_object","fire_extinguisher",0.3713,0.0,0.936,"ALTER",T
53,17:45:33,"real_object","fire_extinguisher",-0.4354,0.0959,1.107,"ALTER",T
54,17:45:34,"hazmat_sign","oxygen",-0.4301,0.299,1.049,"ALTER",T
55,17:45:34,"hazmat_sign","radioactive",-0.3938,-0.2353,0.9804,"ALTER",T
56,17:45:34,"real_object","fire_extinguisher",-0.0085,0.4432,1.7045,"ALTER",T
57,17:45:34,"real_object","fire_extinguisher",-0.1815,0.5788,2.0548,"ALTER",T
58,17:45:35,"hazmat_sign","oxygen",-0.6878,0.4293,1.4634,"ALTER",T
59,17:45:36,"hazmat_sign","radioactive",-0.5436,-0.1328,1.2448,"ALTER",T
60,17:45:43,"real_object","fire_extinguisher",-0.9406,0.9041,2.7397,"ALTER",T
61,17:45:49,"real_object","hard_hat",-0.2107,0.4924,1.5228,"ALTER",T
62,17:45:53,"real_object","Backpack",-0.1906,0.0779,0.8054,"ALTER",T
63,17:46:02,"real_object","fire_extinguisher",-0.0136,-0.139,2.0339,"ALTER",T
64,17:46:02,"real_object","fire_extinguisher",-0.0459,-0.4541,3.0612,"ALTER",T
65,17:46:09,"real_object","hard_hat",1.5,-0.3511,6.383,"ALTER",T
66,17:46:11,"hazmat_sign","radioactive",-0.5243,0.3811,1.4563,"ALTER",T
67,17:46:11,"hazmat_sign","radioactive",0.1211,0.3655,1.3453,"ALTER",T
68,17:46:11,"real_object","fire_extinguisher",-1.1967,0.1038,3.2787,"ALTER",T
69,17:46:21,"real_object","fire_extinguisher",-0.3762,-0.0381,2.8571,"ALTER",T
70,17:46:29,"hazmat_sign","oxidizer",-0.4103,0.2744,1.5385,"ALTER",T
71,17:46:30,"hazmat_sign","radioactive",-0.3682,-0.1816,1.4925,"ALTER",T
72,17:46:30,"real_object","fire_extinguisher",-0.0383,0.0,3.2787,"ALTER",T
73,17:47:31,"real_object","baby_doll_face",0.0035,-0.0044,0.5279,"ALTER",T
74,17:51:49,"ar_code","17",0.2985999882221222,0.025699999183416367,1.5442999601364136,"ALTER",T
