epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127.402,1.18811,1.38856,1.25183,0.75254,0.76892,0.79952,0.53251,1.15778,0.92718,1.23741,0.000166503,0.000166503,0.000166503
2,249.901,1.21411,1.32112,1.27316,0.76598,0.79229,0.82789,0.54802,1.15511,0.86863,1.23692,0.000326573,0.000326573,0.000326573
3,368.717,1.24132,1.26773,1.28751,0.85478,0.7868,0.82316,0.53584,1.1761,0.87701,1.29051,0.000480043,0.000480043,0.000480043
4,487.233,1.23139,1.20789,1.28655,0.87722,0.77972,0.83816,0.55186,1.19524,0.83541,1.26838,0.0004703,0.0004703,0.0004703
5,608.037,1.19533,1.10565,1.26234,0.86994,0.8143,0.84454,0.56056,1.16169,0.77629,1.24938,0.0004604,0.0004604,0.0004604
6,728.865,1.16273,1.03135,1.24044,0.87522,0.84734,0.86612,0.5716,1.19804,0.7419,1.26076,0.0004505,0.0004505,0.0004505
7,849.72,1.1308,0.9737,1.2217,0.87561,0.81541,0.84619,0.56842,1.1465,0.74386,1.24887,0.0004406,0.0004406,0.0004406
8,970.821,1.11017,0.93479,1.21049,0.8979,0.82335,0.86393,0.59822,1.1093,0.65907,1.22127,0.0004307,0.0004307,0.0004307
9,1091.72,1.08144,0.89059,1.19245,0.9057,0.82366,0.85898,0.59541,1.10973,0.64089,1.20156,0.0004208,0.0004208,0.0004208
10,1212.57,1.07217,0.86359,1.18164,0.88327,0.85201,0.87073,0.60229,1.10436,0.64421,1.20268,0.0004109,0.0004109,0.0004109
11,1333.5,1.04528,0.82524,1.16732,0.91281,0.84627,0.88,0.61259,1.08492,0.60837,1.20077,0.000401,0.000401,0.000401
12,1454.62,1.04362,0.80793,1.16903,0.9105,0.85397,0.88481,0.61863,1.08662,0.58731,1.18948,0.0003911,0.0003911,0.0003911
13,1576.07,1.01743,0.78443,1.15402,0.9133,0.85555,0.88016,0.62095,1.07101,0.578,1.18145,0.0003812,0.0003812,0.0003812
14,1697.28,1.01054,0.7753,1.15037,0.91376,0.86277,0.88275,0.6212,1.0736,0.58264,1.1753,0.0003713,0.0003713,0.0003713
15,1818.74,1.00067,0.75109,1.14097,0.91791,0.86344,0.90554,0.64058,1.05443,0.56036,1.17284,0.0003614,0.0003614,0.0003614
16,1940.22,1.00664,0.73501,1.14303,0.94293,0.85452,0.89322,0.64258,1.04489,0.53469,1.16222,0.0003515,0.0003515,0.0003515
17,2072.14,0.98401,0.72716,1.12778,0.93108,0.86955,0.89152,0.63349,1.04048,0.54371,1.16137,0.0003416,0.0003416,0.0003416
18,2232.25,0.96929,0.7055,1.12295,0.92231,0.85849,0.89196,0.62948,1.057,0.54713,1.17884,0.0003317,0.0003317,0.0003317
19,2354.26,0.96072,0.69731,1.12105,0.94127,0.86594,0.89284,0.64306,1.04208,0.5337,1.14631,0.0003218,0.0003218,0.0003218
20,2475.87,0.94711,0.6882,1.11267,0.92749,0.86585,0.89324,0.64413,1.02163,0.52733,1.14379,0.0003119,0.0003119,0.0003119
21,2597.67,0.94039,0.67119,1.10652,0.93479,0.87907,0.92053,0.66269,1.01276,0.50521,1.13073,0.000302,0.000302,0.000302
22,2719.78,0.9359,0.66257,1.09852,0.94712,0.8611,0.90113,0.65435,1.00385,0.51592,1.12589,0.0002921,0.0002921,0.0002921
23,2841.66,0.92264,0.65531,1.09371,0.92888,0.87235,0.90401,0.65293,1.00485,0.50828,1.11838,0.0002822,0.0002822,0.0002822
24,2963.91,0.91038,0.63555,1.0863,0.95322,0.86478,0.90356,0.66726,0.97316,0.48241,1.1016,0.0002723,0.0002723,0.0002723
25,3086.35,0.90151,0.636,1.08149,0.94558,0.86083,0.896,0.65497,0.99387,0.50399,1.1145,0.0002624,0.0002624,0.0002624
26,3208.4,0.89377,0.61931,1.07696,0.95532,0.86551,0.89917,0.66151,0.98275,0.49125,1.11501,0.0002525,0.0002525,0.0002525
27,3330.64,0.88556,0.61001,1.07316,0.94267,0.86843,0.90604,0.66765,0.97353,0.48487,1.10351,0.0002426,0.0002426,0.0002426
28,3453.01,0.88281,0.59998,1.07132,0.93812,0.8765,0.90543,0.6682,0.98685,0.48148,1.10046,0.0002327,0.0002327,0.0002327
29,3574.12,0.87486,0.58978,1.06174,0.95208,0.87305,0.90861,0.67371,0.97422,0.46437,1.09915,0.0002228,0.0002228,0.0002228
30,3694.94,0.86817,0.58224,1.05921,0.96281,0.86465,0.91277,0.67629,0.95818,0.46356,1.09103,0.0002129,0.0002129,0.0002129
31,3815.7,0.85786,0.58233,1.05236,0.93967,0.88943,0.92486,0.68985,0.94768,0.45779,1.09143,0.000203,0.000203,0.000203
32,3936.58,0.8496,0.57706,1.0564,0.95645,0.88162,0.91723,0.68429,0.95726,0.45256,1.09605,0.0001931,0.0001931,0.0001931
33,4057.21,0.84963,0.56877,1.05189,0.96188,0.87096,0.91471,0.68367,0.94305,0.45025,1.08505,0.0001832,0.0001832,0.0001832
34,4178.27,0.8383,0.55211,1.04499,0.95034,0.87955,0.91357,0.68376,0.95019,0.44962,1.09386,0.0001733,0.0001733,0.0001733
35,4299.51,0.82921,0.54541,1.0392,0.95593,0.87732,0.91658,0.69052,0.93251,0.4365,1.07045,0.0001634,0.0001634,0.0001634
36,4420.21,0.81549,0.52978,1.03011,0.95379,0.87715,0.91368,0.68895,0.93001,0.44061,1.07282,0.0001535,0.0001535,0.0001535
37,4541.57,0.81586,0.52794,1.03161,0.96161,0.87121,0.9175,0.69033,0.94026,0.44301,1.07747,0.0001436,0.0001436,0.0001436
38,4662.93,0.82436,0.52714,1.03391,0.95352,0.87016,0.91371,0.68803,0.93583,0.44302,1.07566,0.0001337,0.0001337,0.0001337
39,4784.3,0.79711,0.51797,1.0255,0.95508,0.87893,0.92356,0.69386,0.93798,0.44132,1.07814,0.0001238,0.0001238,0.0001238
40,4906.01,0.80243,0.51522,1.02406,0.95782,0.87273,0.92515,0.69577,0.93374,0.44363,1.06983,0.0001139,0.0001139,0.0001139
41,5021.6,0.72598,0.37746,0.97424,0.94399,0.88774,0.91653,0.69436,0.92673,0.43325,1.07486,0.000104,0.000104,0.000104
42,5137.38,0.70791,0.36676,0.9629,0.95587,0.8822,0.92053,0.69779,0.91926,0.43133,1.06435,9.41e-05,9.41e-05,9.41e-05
43,5252.78,0.69815,0.3592,0.96417,0.89611,0.88026,0.92438,0.70325,0.91313,0.42717,1.07389,8.42e-05,8.42e-05,8.42e-05
44,5368.24,0.69242,0.35083,0.95708,0.88479,0.89194,0.92396,0.70765,0.91096,0.42893,1.06247,7.43e-05,7.43e-05,7.43e-05
45,5483.63,0.68666,0.34216,0.95433,0.8932,0.88432,0.92281,0.70525,0.90716,0.42946,1.06451,6.44e-05,6.44e-05,6.44e-05
46,5598.84,0.6767,0.33925,0.94754,0.95642,0.88084,0.92936,0.71273,0.90859,0.42784,1.05819,5.45e-05,5.45e-05,5.45e-05
47,5714.26,0.67128,0.33344,0.94228,0.95414,0.89368,0.94127,0.72201,0.90149,0.41613,1.05658,4.46e-05,4.46e-05,4.46e-05
48,5829.67,0.66558,0.33277,0.9427,0.95563,0.89076,0.94223,0.72674,0.90276,0.41662,1.05737,3.47e-05,3.47e-05,3.47e-05
49,5945.15,0.66272,0.3254,0.93877,0.95675,0.89063,0.94135,0.72755,0.90045,0.41311,1.05972,2.48e-05,2.48e-05,2.48e-05
50,6060.74,0.65638,0.32522,0.93866,0.9569,0.88855,0.93137,0.72074,0.89779,0.41263,1.05901,1.49e-05,1.49e-05,1.49e-05
